customer_id,tenure_months,monthly_charges,total_charges,contract_type,internet_service,num_support_tickets,payment_method,churn
CUST_00001,7,36.59,246.67,One year,Fiber optic,0,Bank transfer (automatic),0
CUST_00002,25,36.12,877.7,Month-to-month,Fiber optic,0,Credit card (automatic),0
CUST_00003,52,74.57,4089.16,Two year,DSL,1,Electronic check,0
CUST_00004,31,41.27,1433.79,One year,DSL,3,Electronic check,0
CUST_00005,13,42.96,484.98,Month-to-month,DSL,1,Bank transfer (automatic),0
CUST_00006,71,90.02,6293.91,Two year,DSL,0,Mailed check,0
CUST_00007,15,48.51,705.4,One year,Fiber optic,0,Bank transfer (automatic),0
CUST_00008,7,39.01,311.14,One year,No,0,Bank transfer (automatic),0
CUST_00009,28,50.27,1494.4,Month-to-month,DSL,3,Credit card (automatic),0
CUST_00010,9,32.62,333.6,Month-to-month,DSL,4,Electronic check,1
CUST_00011,43,75.19,3236.52,Month-to-month,Fiber optic,1,Mailed check,0
CUST_00012,32,55.46,1842.69,Two year,Fiber optic,0,Credit card (automatic),0
CUST_00013,67,98.02,7265.47,One year,DSL,3,Mailed check,0
CUST_00014,13,55.58,622.05,Two year,DSL,0,Mailed check,0
CUST_00015,20,21.71,489.67,Month-to-month,No,0,Electronic check,0
CUST_00016,50,104.64,5194.48,Month-to-month,DSL,4,Electronic check,1
CUST_00017,51,63.55,3689.89,One year,Fiber optic,1,Mailed check,0
CUST_00018,26,55.7,1235.02,Month-to-month,Fiber optic,0,Mailed check,1
CUST_00019,67,82.94,4880.22,Two year,DSL,1,Bank transfer (automatic),0
CUST_00020,61,78.65,4185.84,One year,Fiber optic,2,Bank transfer (automatic),0
CUST_00021,45,51.89,2024.14,One year,DSL,2,Credit card (automatic),0
CUST_00022,54,,3322.86,Month-to-month,DSL,2,Credit card (automatic),0
CUST_00023,39,61.8,2289.74,Two year,DSL,0,Electronic check,0
CUST_00024,34,56.46,1708.94,Two year,No,0,Electronic check,0
CUST_00025,40,68.42,2445.59,One year,DSL,0,Credit card (automatic),0
CUST_00026,61,70.0,4205.98,Month-to-month,DSL,1,Electronic check,0
CUST_00027,2,44.56,92.51,Month-to-month,No,2,Mailed check,0
CUST_00028,8,36.69,253.48,Month-to-month,DSL,1,Electronic check,1
CUST_00029,35,65.09,2329.19,Month-to-month,No,1,Bank transfer (automatic),0
CUST_00030,42,64.76,2786.68,One year,Fiber optic,0,Electronic check,0
CUST_00031,13,47.74,587.3,One year,Fiber optic,4,Electronic check,0
CUST_00032,44,63.23,2522.0,Two year,Fiber optic,0,Mailed check,0
CUST_00033,2,45.63,94.89,Month-to-month,Fiber optic,3,Bank transfer (automatic),1
CUST_00034,18,53.34,1041.1,Month-to-month,DSL,1,Electronic check,1
CUST_00035,34,74.76,2377.24,Month-to-month,No,1,Bank transfer (automatic),0
CUST_00036,4,25.09,100.65,Month-to-month,No,1,Mailed check,0
CUST_00037,46,56.8,2298.53,Month-to-month,No,2,Mailed check,0
CUST_00038,39,76.14,3220.55,Month-to-month,Fiber optic,1,Mailed check,1
CUST_00039,41,42.36,1821.7,Month-to-month,Fiber optic,0,Electronic check,0
CUST_00040,37,80.5,2914.6,One year,Fiber optic,3,Electronic check,0
CUST_00041,50,58.59,3021.99,Month-to-month,DSL,1,Credit card (automatic),0
CUST_00042,48,60.34,3291.97,Two year,Fiber optic,1,Electronic check,0
CUST_00043,48,71.45,3493.36,One year,Fiber optic,2,Credit card (automatic),0
CUST_00044,16,29.38,459.86,Month-to-month,Fiber optic,2,Electronic check,0
CUST_00045,50,62.36,3073.76,Two year,DSL,2,Mailed check,0
CUST_00046,13,24.32,286.01,Two year,Fiber optic,2,Bank transfer (automatic),0
CUST_00047,2,34.63,77.78,Month-to-month,Fiber optic,0,Credit card (automatic),1
CUST_00048,71,90.66,6535.27,Month-to-month,Fiber optic,2,Electronic check,1
CUST_00049,13,44.57,561.2,One year,No,2,Electronic check,0
CUST_00050,9,31.47,320.27,Month-to-month,Fiber optic,0,Bank transfer (automatic),1
CUST_00051,22,46.89,1047.31,Month-to-month,DSL,1,Electronic check,0
CUST_00052,72,81.32,5233.32,Month-to-month,DSL,1,Bank transfer (automatic),0
